arena_name,arena_city,teamname,capacity,opened
American Airlines Center,"Dallas, Texas",Dallas Mavericks,"19,200",2001
Amway Center,"Orlando, Florida",Orlando Magic,"18,846",2010
Ball Arena,"Denver, Colorado",Denver Nuggets,"19,520",1999
Barclays Center,"Brooklyn, New York",Brooklyn Nets,"17,732",2012
Capital One Arena,"Washington, D.C.",Washington Wizards,"20,356",1997
Chase Center,"San Francisco, California",Golden State Warriors,"18,064",2019
Crypto.com Arena,"Los Angeles, California",Los Angeles Clippers,"19,068",1999
Crypto.com Arena,"Los Angeles, California",Los Angeles Lakers,"18,997",1999
Delta Center,"Salt Lake City, Utah",Utah Jazz,"18,306",1991
FedExForum,"Memphis, Tennessee",Memphis Grizzlies,"17,794",2004
Fiserv Forum,"Milwaukee, Wisconsin",Milwaukee Bucks,"17,500",2018
Footprint Center,"Phoenix, Arizona",Phoenix Suns,"17,071",1992
Frost Bank Center,"San Antonio, Texas",San Antonio Spurs,"18,418",2002
Gainbridge Fieldhouse,"Indianapolis, Indiana",Indiana Pacers,"17,923",1999
Golden 1 Center,"Sacramento, California",Sacramento Kings,"17,583",2016
Kaseya Center,"Miami, Florida",Miami Heat,"19,600",1999
Little Caesars Arena,"Detroit, Michigan",Detroit Pistons,"20,332",2017
Madison Square Garden,"New York City, New York",New York Knicks,"19,812",1968
Moda Center,"Portland, Oregon",Portland Trail Blazers,"19,441",1995
Paycom Center,"Oklahoma City, Oklahoma",Oklahoma City Thunder,"18,203",2002
Rocket Mortgage FieldHouse,"Cleveland, Ohio",Cleveland Cavaliers,"19,432",1994
Scotiabank Arena,"Toronto, Ontario",Toronto Raptors,"19,800",1999
Smoothie King Center,"New Orleans, Louisiana",New Orleans Pelicans,"16,867",1999
Spectrum Center,"Charlotte, North Carolina",Charlotte Hornets,"19,077",2005
State Farm Arena,"Atlanta, Georgia",Atlanta Hawks,"16,600",1999
Target Center,"Minneapolis, Minnesota",Minnesota Timberwolves,"18,978",1990
TD Garden,"Boston, Massachusetts",Boston Celtics,"19,156",1995
Toyota Center,"Houston, Texas",Houston Rockets,"18,055",2003
United Center,"Chicago, Illinois",Chicago Bulls,"20,917",1994
Wells Fargo Center (Philadelphia),"Philadelphia, Pennsylvania",Philadelphia 76ers,"20,478",1996
